,text,label
533,tương_đối hài kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
534,tả quần tốt mua tiki kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
535,hàng tôt giá phai kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
536,chất_lượng ok giao hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
537,shop gửi bịch thủng vỏ túi bỉm đủ bỉm bịch mua 3bịch 1triệu 3đều rách không hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
538,tốt sản_phẩm an_toàn bé giá_thành hơi kì hài_lòng,"[0, 1, 0, 1, 0, 1, 0]"
539,ship hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
540,hàng chất_lượng đúng như mô_tả đóng_gói cẩn_thận tiki giao hàng quần tốt,"[1, 0, 0, 1, 0, 0, 0]"
541,không hài_lòng bé tè sờ bỉm như giấy nhúng năng thấm hút kém bé ị tràn không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
542,hàng giao đúng mẫu_mã đóng_gói cẩn_thận giao hàng nhanh kì hài_lòng,"[1, 0, 1, 0, 1, 0, 0]"
543,giao hàng nhanh hộp sữa nguyên_vẹn sạch_sẽ không móp méo sữa thơm tan không vón cục như enfa né,"[1, 0, 0, 1, 0, 0, 0]"
544,sữa thơm ngon tiki hộp sữa thùng tiki hộp sữa không gói kỹ như hàng hộp sữa nóng giao trưa tiki vui_lòng gói sữa kỹ kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
545,tốt hài_lòng sản_phẩm giá_cả hợp_lý khuyến_mãi tuyệt giới_thiệu hội chị_em tốt,"[0, 1, 0, 0, 0, 0, 0]"
546,tiền đấu không chê kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
547,kinh_khủng tã giao như mua 5 bì triệu bạc không nghị đổi hàng,"[0, 1, 0, 1, 0, 0, 0]"
548,tã hút hàng hãng ng yên_tâm quần bobby jumbo_ultra,"[1, 0, 1, 1, 0, 0, 0]"
549,shop sản_phẩm tốt kích_thước 80 bé 7.5 kg mặc không đổi 3cái bé mặc 2,"[0, 0, 0, 0, 0, 0, 1]"
550,hàng oke kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
551,thấm hút kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
552,mỏng nhẹ bé mặc thoải hơi tốn tìn khihay,"[0, 0, 0, 1, 0, 0, 0]"
553,giao hàng siêu nhanh chất_lượng sản_phẩm tuyệt tốt,"[1, 0, 0, 1, 0, 0, 0]"
554,hàng giao nhanh chiều_hôm trưa hôm giao hàng sản_xuất hạn đóng_gói cẩn kì hài_lòng,"[1, 0, 0, 1, 0, 1, 0]"
555,tã mềm mỏng không xệ mặc đêm không tràn 6m 11m tiki xác_nhận đơn giao kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
556,hàng nsx : kì hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
557,giao hàng nhanh_chóng đóng_gói cẩn_thận sản_phẩm kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
558,nsx vừa_ý chất_lượng chưa kiểm,"[0, 0, 0, 0, 0, 1, 0]"
559,sp thấm hút ấn chun mềm organic kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
560,hàng giao cực nhanh giao tiêu_chuẩn chiều_hôm tiki giao giá rẻ mua cung tạp_hoá mã khuyến_mãi mong tiki chất_lượng giá_cả tốt khách_hàng như kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
561,bé 8 kí mặc vô lằn đỏ hai hông bỉm nhỏ_bé mặc không thoải hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
562,bao_bì cũ hạn cũ 2019,"[0, 0, 0, 0, 0, 1, 0]"
563,giao hàng cực nhanh chưa 24h giao sản_phẩm tã chưa chưa kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
564,giao nhầm quà tặng giao 2 túi_xách hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
565,sản_phẩm tốt giao hàng nhanh mẫu_mã đẹp đóng_gói sản_phẩm chắc_chắn nhân_viên giao hàng thân,"[1, 0, 0, 1, 0, 0, 0]"
566,thấm hút kém đóng cục đúng giá tiền đi_đôi chất hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
567,hàng oke lắm nha ủng kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
568,mua giao hàng nhanh đóng_gói cẩn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
569,không tả mỏng mỏng shop lo_lắng chất_lượng sản_phẩm mua mẹ mỏng mua shop,"[0, 0, 0, 1, 0, 0, 0]"
570,giá hàng nhập như mặc_dù chưa mùi thơm nhẹ giá_cả tốt,"[0, 1, 0, 1, 0, 0, 0]"
571,giao hàng hơi chậm đóng_gói cẩn_thận không bé tè dòng tả 1 đêm thay 2 không như mô_tả sản_phẩm bé 1 giấc_ngủ ngon nguyên đêm không hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
572,trừ tiki đóng_gói hàng cẩn_thận nhân_viên giao hàng chuyên_nghiệp - hàng bobby : không mùi dai mềm_mại không kích_ứng da giá_cả dễ_chịu sản_phẩm hãng ! mấy quyết_định 2 combos combo 6 gói kì hài_lòng,"[1, 1, 0, 1, 0, 1, 0]"
573,hài_lòng kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
574,mua ủng_hộ tiếp kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
575,tả thấm hút tốt tiki ủng_hộ tiki kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
576,bỉm dày loại bỉm,"[0, 0, 0, 1, 0, 0, 0]"
577,hàng_nhập thái_lan chất_lượng thấm hút giao hàng nhanh đóng_gói cẩn phẩm_chất_lượng tốt,"[1, 0, 0, 1, 0, 0, 0]"
578,hàng tốt ủng_hộ tiếp giá đầu hoei kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
579,gi tặng quà hàng không kì hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
580,đầu bé nhãn hàng chất_lượng mong_đợi tã nhẹ mỏng thoáng nhãn hàng tiki kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
581,giao hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
582,hàng tốt giá ưu_đãi mua hàng tiki yên_tâm chất kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
583,bỉm mỏng nhẹ kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
584,không giao quà tặng ? giao quà,"[0, 0, 0, 0, 1, 0, 0]"
585,san pham chat kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
586,giao hàng chậm gọi điện tổng_đài chất_lượng sản_phẩm,"[1, 0, 0, 1, 0, 0, 0]"
587,sp không đẹp như mong_đợi không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
588,mua hạn giao hàng nhanh tã cải_tiến êm ềm loại cũ bao_bì yên_tâm mua tiki không sợ hàng,"[1, 0, 0, 1, 0, 1, 0]"
589,san pham kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
590,tả ok đóng_gói vận_chuyển cản kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
591,đầu ngại thanh_toán zalopay định không mua bỉm chất_lượng tốt mua sale giá rẻ 1 nửa giao hàng nhanh đúng hẹn hài kì hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
592,bobby không ưng đổi chờ sale mua tã kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
593,sóc trăng không giao hàng,"[0, 0, 0, 0, 1, 0, 0]"
594,tã giá ok giao hàng nhanh ủng_hộ giá tã quần unidry,"[1, 1, 0, 1, 0, 0, 0]"
595,tiki giao hàng nhanh đóng_gói cẩn_thận chất_lượng tã goon không bàn mỏng mềm thoáng mát không hầm kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
596,không bịch tã không mã qr tích hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
597,tã tràn không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
598,dao hang nhanh rat hai_lòng,"[1, 0, 0, 0, 0, 0, 0]"
599,hàng chất_lượng mặc tốt không hăm giao hàng nhanh hài_lòng,"[1, 0, 0, 1, 0, 1, 0]"
600,sản_phẩm mùi xăng nồng_nặc tiki giúp không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
601,độ mỏng không mỏng dòng gold tốt lưng thun không hằn da bé mềm mịn nhin đẹp ! không bé mặc lưng thun mồ_hôi không thấm bé trai mặc tã phồng ! không gold bao kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
602,ưng_ý sản_phẩm tiki hàng đóng_gói cẩn_thận giao hàng tốt trừ quà_đẹp,"[1, 0, 0, 0, 0, 0, 0]"
603,san pham tot giao hang nhanh tang kem 8 kì hài_lòng,"[1, 0, 0, 0, 1, 0, 0]"
604,sản_phẩm đúng như miêu_tả dad ok giá_cả rẻ fre kì hài_lòng,"[1, 1, 1, 1, 0, 0, 0]"
605,hàng_chất mỏng thấm hút tốt nhẹ,"[0, 0, 0, 1, 0, 0, 0]"
606,shop tiki kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
607,sản_phẩm oke 100 % tuyệt kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
608,đóng_gói cẩn_thận hộp dễ_thương chất gỗ,"[0, 0, 0, 0, 0, 0, 0]"
609,hàng giao logo hình sản google giá hàng giao rẻ hài_lòng,"[0, 1, 0, 0, 1, 0, 0]"
610,giao hang nhanh chat luong tuyet voi lun minh rat tuong kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
611,đóng_gói chắc_chắn giao hàng nhanh sp_chất hài kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
612,chất_lượng oke giao hàng nhanh giá_cả cạnh_tranh ủng_hộ tiki giao nhanh,"[1, 1, 0, 1, 0, 0, 0]"
613,lưng quần cực_kì mềm_mại bé mặc không vết hằn bỉm phân_biệt thuận_tiện mẹ êm_ái giao hàng nhanh báo 7 giao 4 đi,"[1, 0, 0, 1, 0, 0, 0]"
614,loại 1 mềm êm thấm hút tốt không hăm ! hài kì hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
615,chưa sử dung một sản_phẩm hữu_ích mua cám_ơn shop san phẩm phẩm hữu_ích,"[0, 0, 0, 0, 0, 0, 1]"
616,núm ti kẹt không sữa bình sữa như_không không hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
617,giao hàng nhanh bỉm chất_lượng thấm hút kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
618,sản_phẩm đúng hãng chất_lượng tốt mua đợt khuyến_mãi rẽ thị kì hài_lòng,"[0, 1, 1, 1, 0, 0, 0]"
619,đầu cọ sợi nylon cố_định không_thể rửa bình sữa cổ hẹp,"[0, 0, 0, 0, 0, 0, 0]"
620,mặc hơi bí chat luong thi kì hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
621,cực_kì hài_lòng hàng giao nhanh đúng y_như kì hài_lòng,"[1, 0, 1, 0, 0, 0, 0]"
622,hẹn 31 / 7 giao nt báo trễ 1 thành 01 / 08 01 / 08 bực gọi tổng_đài báo nvc ghi_chú địa_chỉ không 1 cuộc_gọi dám ghi địa_chỉ sai gọi tổng_đài 3 chưa làm_việc đối_tác vc 2 không kết_quả báo phẩm chi trẻ kiểu đối_tác vận_chuyển gạt danh_sách khách_hàng khó_tính như đi không hài_lòng,"[1, 0, 0, 0, 1, 0, 0]"
623,rẻ mua thử chất_lượng kém hàng sx việt_nam thua hàng nội_địa nhật dúm tràn tả đúng câu tiền không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
624,mỏng mùi khó_chịu 😦 mua kp mùi tạm,"[0, 0, 0, 1, 0, 0, 0]"
625,khăn_ok hài_lòng sp bé trai màu hồng hello_kitty kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
626,nghe mùi hơi lằn lưng phai mua kích_thước bé 5 kg mom mua cân_nhắc kích_thước oke,"[0, 0, 0, 0, 0, 0, 1]"
627,tã mềm_mại co_giãn thấm hút tốt ban_đêm quần,"[0, 0, 0, 1, 0, 0, 0]"
628,tiki tã unidry rẻ thị_trường giao hàng qá nhanh tã không tốt như bobby,"[1, 1, 0, 0, 0, 0, 0]"
629,san phẩm tot giong mo ta tốt nhu mong doi kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
630,thấm hút tốt vừa_vặn bé mặc kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
631,tã cực to bé đêm khô_ráo unidry bé không hăm nửa giá vừa_phải kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
632,bỉm mềm kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
633,hài_lòng tks shop kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
634,nhân_viên công_ty unidry giới_thiệu mua tã quần premium tiki tặng thú giao hàng không quà tặng kèm,"[0, 0, 0, 0, 1, 0, 0]"
635,hình_mẫu đệm mây 4 chiều người_ta đặt_hàng xong giao mẫu đệm mây cũ làm_ăn không uy_tín xưa toàn mua hàng tiki thất_vọng nặng_nề hình đầu dê thịt không hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
636,hạn tem kì hài_lòng,"[0, 0, 1, 0, 0, 1, 0]"
637,tặng 9 tả dán giá kì hài_lòng,"[0, 1, 0, 0, 1, 0, 0]"
638,sản_phẩm mềm mịn thoáng nhẹ bé 8kg mua side l thoải_mái mua tã tiki tiki đóng_thùng cẩn_thận tiki đóng_gói không như mong tiki đóng_thùng ! kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
639,tã tốt kích_thước vừa_vặn bé 8 - 10 kg chỗ lưng thun 1 lớp màng êm tiki giao hàng nhanh quấn lớp nilong hạn_chế quấn nilong bảo_vệ môi tốt - giao nhanh,"[1, 0, 0, 1, 0, 0, 0]"
640,tã xịn loại đóng đêm không tràn không thít bụng tin_dùng kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
641,tả êm oke bé lắm kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
642,giao hàng như mô,"[1, 0, 0, 0, 0, 0, 0]"
643,toàn_bộ tem khuyến_mãi cắt k chấp_nhận tã bé cắt lủng dậy ẩm_mốc ảnh_hưởng bé trách nghị shop liên_hệ giải_quyết không hài_lòng,"[0, 0, 0, 0, 1, 1, 0]"
644,không mua tiểu 1 ướt,"[0, 0, 0, 1, 0, 0, 0]"
645,hàng loại hạn hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
646,giao hàng nhanh bé m trộm_vía cân,"[1, 0, 0, 1, 0, 0, 0]"
647,đợi đơn hóng quà ngắn gui kem tặng giúp m tiki,"[0, 0, 0, 0, 0, 0, 1]"
648,mua kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
649,hàng hộ tiki dài_dài xài bjo kì hài_lòng,"[0, 0, 1, 0, 0, 0, 0]"
650,sữa hãng xe đồ_chơi chắc_chắn kì hài_lòng,"[0, 0, 1, 0, 1, 0, 0]"
651,mua đợt khuyến_mãi tặng hủ ruốc cá_hồi nhật tiện giá tã mềm mặc thông kiệm mua,"[0, 1, 0, 1, 1, 0, 0]"
652,tã vạch báo tiểu tả băng_dính miếng tã cực tiện_lợi bề_mặt tã mềm mịn lớp thoáng_khí giúp bé cảm_giác thoải giao hàng nhanh đóng_gói cẩn_thận shiper nhiệt_tình chuyên sử,"[1, 0, 0, 1, 0, 0, 0]"
653,oke kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
654,tả hơi dày xen kẻ tả pampers ban_ngày bobby ban kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
655,giao hàng nhanh đóng_gói đôi_khi hộp móp kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
656,thoải_mái dòng thay_vì dòng bỉm không vón cục bột bám khe kẽ mông ướt nhẹp không thay nhanh như dòng cũ một vạch vàng đổi màu báo đổi bỉm băng_dính tiện_lợi vệ_sinh đều hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
657,tiki giao nhanh uy chất_lượng mua hàng tiki đều đều kì hài_lòng,"[1, 0, 0, 1, 1, 0, 0]"
658,hài mỏng mịn không bí kích_ứng da bé yên kì hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
659,sản_phẩm tệ thấm hút kém tã mùi băng vệ_sinh tí nước_tiểu dính bé giá rẻ không mua tã không hài_lòng,"[0, 1, 0, 1, 0, 1, 0]"
660,bé không hăm ngứa tiki giao hàng nhanh đổi nhanh hài_lòng,"[1, 0, 0, 0, 1, 1, 0]"
661,ta ok gia tốt tiết_kiệm kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
662,sp tốt giao hàng nhanh ! đóng_gói đẹp ! thanks kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
663,minh hoài mua 3boc mất tiền ship một trăm mấy kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
664,hàng giao cực nhanh bao_bì hơi bụi bẩn đóng_gói kỹ_lưỡng lau bụi gửi đi tốt,"[1, 0, 0, 0, 1, 0, 0]"
665,sản_phẩm hôm_nay hàng gãy gắn không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
666,chất lương sản phẩn kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
667,sản_phẩm đónh gói tốt nhân_viên vui kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
668,san pham_ok giao nhanh to la khach hàng thuong xuyen mua hàng tu,"[1, 0, 0, 1, 0, 0, 0]"
669,cực hai kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
670,đêm lůng cůa tå thóang hon nhung tå đot mong voi mây đot mìh đăt bé măc ngů ban_đêm rât dê mìh vân thich tå mây đot,"[0, 0, 0, 0, 0, 0, 0]"
671,tã ok tiki giao hàng nhanh thíc mua hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
672,sản_phẩm tốt sản_phẩm đóng_gói cẩn_thận giao hàng nhanh ủng_hộ,"[1, 0, 0, 1, 0, 0, 0]"
673,hạn quà cực_kì hài_lòng,"[0, 0, 0, 0, 1, 1, 0]"
674,đóng_gói sản_phẩm cẩn_thận như giao hàng nhanh_chóng quà tặng kèm bỉm kì hài_lòng,"[1, 0, 0, 0, 1, 0, 0]"
675,sữa hạn hàng tặng bình uống tốt shop rút kinh_nghiệm tháo niềng hộp sữa,"[0, 0, 0, 0, 1, 1, 0]"
676,rẻ giá thị giúp mẹ bỉm sữa tiết_kiệm 1 ít kì hài_lòng,"[0, 1, 0, 0, 0, 0, 0]"
677,hang chat luong hang chat chat chat kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
678,bình_thường không lằn vết bỉm quần,"[0, 0, 0, 0, 0, 0, 1]"
679,tả thấm hút tốt_họa tiết dễ_thương tặng xe đẹp kì hài_lòng,"[0, 0, 0, 1, 1, 0, 0]"
680,chán kích_thước s 4 - 8kg cảm_giác như kích_thước bé sơ_sinh 2 - 3kg bỉm thỳ cực mỏng măc 1 tiéng thay 1 mất chất_lượng không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
681,date sản_phẩm giao hàng nhanh sản_phẩm mùi gắt bề_mặt tả không mềm_mại hàng sale chấp_nhận giá phẩm không mua cửa_hàng không sản_phẩm rẻ mặc không thoải_mái tội lắm hy_vọng bé mặc không hăm thất_vọng tiki hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
682,hài_lòng ủng_hộ sản_phẩm hài_lòng chất_lượng sản_phẩm ủng_hộ tiếp,"[0, 0, 0, 0, 0, 0, 1]"
683,sản_phẩm ok mùi hơi nồng khả_năng thấm hút,"[0, 0, 0, 1, 0, 0, 0]"
684,ưu_điểm giúp dáng chống xệ hàng sản_xuất giao hàng nhanh đóng_gói cẩn_thận giá tốt áp voucher giá_trị rẻ thẻ cào may_mắn mong may kì hài_lòng,"[1, 1, 0, 1, 1, 1, 0]"
685,chưa một than dị_ứng tã giới_thiệu tã đắng đo mua hàng sản_phẩm mùi thơm dễ_chịu tã mềm nhẹ bé sản_phẩm thấm hút tốt pampers mua đúng tiki giảm_giá phẩm tốt,"[0, 1, 0, 1, 0, 0, 0]"
686,bình_thường da khô đợc dị_ứng mua sản_phẩm xài tốt mềm da không_kích_ứng body nhanh hơi tốt hơi hao,"[0, 0, 0, 0, 0, 0, 0]"
687,giao hàng tệ chưa không hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
688,sản_phẩn tuyệt rẻ ngon kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
689,hình chú_thích quà không,"[0, 0, 0, 0, 1, 0, 0]"
690,ổn giá tốt mã giảm_giá 40k gói tã 543k,"[0, 1, 0, 1, 0, 0, 0]"
691,kích_thước xl giao kích_thước l shop shop bỉm mặc chật_chội nhầm kích_thước,"[0, 0, 0, 0, 1, 0, 0]"
692,oke chất_lượng tốt giao hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
693,shop sản_phẩm tem tích quà phẩm tem tích quà không ?,"[0, 0, 0, 0, 0, 0, 1]"
694,sản_phẩm tốt giá hợp_lí ủng_hộ shop dài_dài shop bọc hàng kĩ chút mua 3 hộp móp méo,"[1, 1, 0, 1, 0, 0, 0]"
695,giá rẻ tốt ban_ngày ban_đêm bỉm giá kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
696,giặt 2 rách tràn ướt hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
697,cực_kỳ hài kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
698,sản_phẩm chưa ưng giá ưu_đãi giao hàng nhanh dự kì hài_lòng,"[1, 1, 0, 0, 0, 0, 0]"
699,bụi shop bao hơi bi,"[0, 0, 0, 1, 0, 0, 0]"
700,tã bobby mua tiki kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
701,lót êm kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
702,mua hàng tiki thất_vọng bao_bì sản_phẩm cũ xấu như hàng hạn sử_dụng_ý nhũn không như mua cửa không hài_lòng,"[0, 0, 0, 1, 0, 1, 0]"
703,sản_phẩm tốt hãng giao hàng nhanh_chóng giá phẩm tốt,"[1, 1, 1, 0, 0, 0, 0]"
704,m mua 2 bich bỉm goon friend hag 2 bịch 18 miếng hàng tặng hnay chưa hag shop ktra giúp,"[0, 0, 0, 0, 1, 0, 0]"
705,giao hàng nhanh chưa không chất_lượng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
706,mua dùm chưa đóng_gói cẩn kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
707,hàng không như lua khách_hàng không mua tiki không hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
708,xịn xò không phàn kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
709,bỉm ok cực hài_lòng dịch_vụ giao hàng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
710,chăm_sóc khách_hàng như bố đời nhắn trả_lời không ngắt hội không hài_lòng,"[0, 0, 0, 0, 1, 0, 0]"
711,mua hàng đóng_gói đẹp cẩn hàng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
712,oke thấm hút,"[0, 0, 0, 1, 0, 0, 0]"
713,bobby kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
714,giao hàng nhanh đóng_gói kỹ_lưỡng chất_lượng kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
715,sữa hãng shop uy_tín sữa thơm ngon bé hạn kì hài_lòng,"[0, 0, 1, 1, 0, 1, 0]"
716,giao hàng nhanh gói hàng cẩn_thận sản_phẩm chưa ưng_ý,"[1, 0, 0, 0, 0, 0, 0]"
717,sữa thơm ngon chưa hạn shop bọc hàng cẩn,"[1, 0, 0, 1, 0, 1, 0]"
718,sản_phẩm giao không quảng_cáo hàng không 1 tí không hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
719,che giu ấm sua 40 sai the nao vay tiki ? minh chinh nut giu am no chay den roi tắt xong sữa ngui,"[0, 0, 0, 0, 0, 0, 0]"
720,sản_phẩm đóng_gói cẩn_thận hài_lòng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
721,balo màu_sắc tươi dây kéo_êm lớp lót không nặng_mùi nhựa kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
722,sản_phẩm mua chất_lượng tốt đai chun không xệ như loại mỏng nhẹ hài kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
723,sản_phẩm chất_lượng tuyệt_vời đúng như mô_tả đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tốt tiền giao hàng nhanh p / s : không chụp đỡ hình mạng kì hài_lòng,"[1, 1, 1, 1, 1, 0, 0]"
724,hàng giao bao_bì đẹp không rách không bẩn giá ok không có_lý không 5 kì hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
725,tã giao rách băng_keo dán tùm_lum như sản_phẩm cũ,"[0, 0, 0, 0, 1, 1, 0]"
726,mua mắc 20k shipper nhiệt_tình chu_đáo đánh 5,"[1, 1, 0, 0, 0, 0, 0]"
727,mua kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
728,giá đắt sữa đề_nghị hãng độ đi uống vẻ nóng giá mua tiki tàm_tạm giao hàng siêu nhanh ship hàng,"[1, 1, 0, 1, 1, 0, 0]"
729,giá hợp kì hài_lòng,"[0, 1, 0, 0, 0, 0, 0]"
730,ok giao nhanh mua thường_xuyên yên_tâm giá rẻ hàng kì hài_lòng,"[1, 1, 1, 0, 0, 0, 0]"
731,nêm vị mặn bé ăn dặm sản_phẩm như,"[0, 0, 0, 1, 0, 0, 0]"
732,sản_phẩm,"[0, 0, 0, 0, 0, 0, 1]"
733,chất_lượng cực không hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
734,giao hàng nhanh như hình khăn mềm thấm kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
735,giao hàng chậm hài_lòng sản kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
736,giao hàng nhanh hàng đúng size chưa chưa đúng mô_tả,"[1, 0, 0, 0, 1, 0, 0]"
737,giao hàng nhanh đóng_gói kỹ hàng đúng chất kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
738,bao_bì cũ bám bụi hài_lòng,"[0, 0, 0, 0, 0, 1, 0]"
739,đóng_gói kỉ hài_lòng kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
740,hàng gửi nhah chất_lượng bé kì hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
741,tả merri chê bé oke kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
742,giao hàng nhanh chất_lượng sản_phẩm kì hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
743,tã thấm hút tốt bé bọc đêm không thành rẻ hợp túi kì hài_lòng,"[0, 1, 0, 1, 0, 0, 0]"
744,miếng dán bé 1 hả 1 tả dán không kì hài_lòng,"[0, 0, 0, 0, 0, 0, 0]"
745,chai kem test thử thấm,"[0, 0, 0, 0, 0, 0, 0]"
746,bỉm mỏng mua cưng siêu_thị ! chất_lượng gọi okie ! hình_ảnh không kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
747,tã không tích,"[0, 0, 0, 0, 0, 0, 1]"
748,tả nhẹ hút thắm kì hài_lòng,"[0, 0, 0, 1, 0, 0, 0]"
749,sản_phẩm oke hài_lòng sản_phẩm ủng kì hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
750,giao chậm hẹn 13 / 12 giao 18 / 12,"[1, 0, 0, 0, 0, 0, 0]"
